,spec100,spec250,spec500,spec1000,spec2000,spec3000
abeyance,0.0022766078542970974,0.005673758865248227,0.011363636363636364,0.01744186046511628,0.0449438202247191,0.05172413793103448
abhor,-0.00033772374197906115,-0.0008438818565400844,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
abhorred,-0.002364066193853428,-0.00590717299578059,-0.011804384485666104,-0.02364864864864865,-0.0472972972972973,-0.07
abhorrence,0.0008005801851694876,0.0019929975760840293,0.0039954775410087386,0.008249528598365807,0.015715153355602793,0.024482758620689653
abhorrent,-0.002364066193853428,-0.00590717299578059,-0.011804384485666104,-0.02364864864864865,-0.0472972972972973,-0.07
abide,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
abigail,-0.0006754474839581223,-0.0016877637130801688,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
abijah,-0.00033772374197906115,-0.0008438818565400844,-0.0016863406408094434,-0.0033783783783783786,-0.006756756756756757,-0.01
abilities,0.0005691519635742744,0.0014184397163120568,0.002840909090909091,0.005813953488372093,0.011235955056179775,0.017241379310344827
ability,0.00467834840980556,0.011652751593500314,0.02050915989575349,0.03637649277184161,0.05838141512298815,0.0906896551724138
abject,0.0011383039271485487,0.0028368794326241137,0.005681818181818182,0.005813953488372093,0.011235955056179775,0.034482758620689655
able,-0.011901061744242214,-0.02729149833916869,-0.05101659512494251,-0.10575109993714646,-0.20315821439416948,-0.2513793103448276
abnormal,-0.009987742377332952,-0.024975311966962923,-0.04650371761459451,-0.10174418604651163,-0.18478590950501064,-0.28103448275862064
abnormalities,-0.003377237419790611,-0.008438818565400843,-0.016863406408094434,-0.033783783783783786,-0.060810810810810814,-0.1
abnormality,-0.004052684903748734,-0.010126582278481013,-0.02023608768971332,-0.04054054054054054,-0.07432432432432433,-0.12
abnormally,-0.002701789935832489,-0.006751054852320675,-0.013490725126475547,-0.02702702702702703,-0.0472972972972973,-0.07
